2026-03-03 12:55:48.536 | INFO     | app.main:shutdown:91 - Servidor detenido
2026-03-03 12:55:49.844 | INFO     | app.main:startup:85 - Doc Verificacion API v1.0.0 iniciado
2026-03-03 12:55:49.845 | INFO     | app.main:startup:86 - Docs: http://localhost:8000/docs
2026-03-03 12:56:14.905 | INFO     | app.main:shutdown:91 - Servidor detenido
2026-03-03 12:56:16.086 | INFO     | app.main:startup:85 - Doc Verificacion API v1.0.0 iniciado
2026-03-03 12:56:16.087 | INFO     | app.main:startup:86 - Docs: http://localhost:8000/docs
2026-03-03 12:56:39.398 | INFO     | app.main:startup:85 - Doc Verificacion API v1.0.0 iniciado
2026-03-03 12:56:39.399 | INFO     | app.main:startup:86 - Docs: http://localhost:8000/docs
2026-03-03 12:58:17.738 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=False - lado=reverso - 18020ms
2026-03-03 13:01:57.955 | INFO     | app.main:startup:85 - Doc Verificacion API v1.0.0 iniciado
2026-03-03 13:01:57.956 | INFO     | app.main:startup:86 - Docs: http://localhost:8000/docs
2026-03-03 13:01:57.958 | INFO     | app.main:shutdown:91 - Servidor detenido
2026-03-03 13:02:07.304 | INFO     | app.main:startup:85 - Doc Verificacion API v1.0.0 iniciado
2026-03-03 13:02:07.306 | INFO     | app.main:startup:86 - Docs: http://localhost:8000/docs
2026-03-03 13:04:39.399 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=True - lado=reverso - 1212ms
2026-03-03 13:06:39.695 | INFO     | app.main:startup:85 - Doc Verificacion API v1.0.0 iniciado
2026-03-03 13:06:39.696 | INFO     | app.main:startup:86 - Docs: http://localhost:8000/docs
2026-03-03 13:08:23.151 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=True - lado=frente - 1176ms
2026-03-03 13:08:27.485 | INFO     | app.services.verificacion:verificar_calidad:305 - Verificación calidad - ok=True - lado=reverso - 1272ms
2026-03-03 13:08:35.543 | INFO     | app.api.routes:verificar_comprobante:186 - Verificando comprobante - archivo: comprobante_domicilio-2 (1)-1.pdf - tamaño: 124.7KB
2026-03-03 14:00:56.278 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:01:22.374 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 26095ms
2026-03-03 14:01:22.376 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:01:50.326 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 27950ms
2026-03-03 14:03:51.105 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:04:05.034 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:04:31.038 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 26004ms
2026-03-03 14:04:31.038 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:04:57.584 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 81 - Resultado: ResultadoVerificacion.ORIGINAL - 26546ms
2026-03-03 14:07:00.347 | INFO     | app.services.document_crosscheck:extraer_datos_acta_nacimiento:595 - Acta nacimiento multi-pasada: 18 pasadas, 1 fechas, 2 nombres
2026-03-03 14:07:00.377 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
2026-03-03 14:07:27.975 | INFO     | app.services.verificacion:verificar:189 - Verificación completada - Score: 93 - Resultado: ResultadoVerificacion.ORIGINAL - 27598ms
2026-03-03 14:07:27.975 | INFO     | app.services.verificacion:verificar:56 - Iniciando verificación - tipo: TipoDocumento.RESIDENCIA_TEMPORAL
