id_gastos_cobranza;Id_credito;parcialidad_actual;parcialidad_calculada;estatus;detalle;semana;periodo_inicio;periodo_fin;monto_local;nota_fecha_s2;nota_monto_s2;nota_indice_s2;cuota_id_cargo;cuota_fecha_vencimiento;cuota_concepto;metodo_calculo
391289;1835293;7;7;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;7;2026-04-20;"CUOTA SEMANAL 7 DE 104";cuota_en_periodo_gdc
408968;1835293;8;8;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;8;2026-04-27;"CUOTA SEMANAL 8 DE 104";cuota_en_periodo_gdc
340219;1835319;2;3;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;3;2026-03-30;"CUOTA SEMANAL 3 DE 130";cuota_en_periodo_gdc
374014;1835319;2;5;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;5;2026-04-13;"CUOTA SEMANAL 5 DE 130";cuota_en_periodo_gdc
322671;1835434;1;2;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;2;2026-03-23;"CUOTA SEMANAL 2 DE 52";cuota_en_periodo_gdc
408969;1835457;1;7;ok;"Requiere ajuste de parcialidad";"Semana 18-2026";2026-04-27;2026-05-03;250.00;2026-04-28;250.00;0;7;2026-04-27;"CUOTA SEMANAL 7 DE 130";cuota_en_periodo_gdc
340220;1835516;2;3;ok;"Requiere ajuste de parcialidad";"Semana 14-2026";2026-03-30;2026-04-05;250.00;2026-04-09;250.00;0;3;2026-03-30;"CUOTA SEMANAL 3 DE 52";cuota_en_periodo_gdc
374015;1835516;2;5;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;5;2026-04-13;"CUOTA SEMANAL 5 DE 52";cuota_en_periodo_gdc
297169;1835548;0;1;ok;"Requiere ajuste de parcialidad";"Semana 12-2026";2026-03-16;2026-03-22;250.00;2026-03-18;250.00;0;1;2026-03-16;"CUOTA SEMANAL 1 DE 52";cuota_en_periodo_gdc
374016;1835623;1;2;ok;"Requiere ajuste de parcialidad";"Semana 16-2026";2026-04-13;2026-04-19;250.00;2026-04-20;250.00;0;2;2026-04-13;"CUOTA SEMANAL 2 DE 104";cuota_en_periodo_gdc
297170;1835628;0;1;ok;"Requiere ajuste de parcialidad";"Semana 12-2026";2026-03-16;2026-03-22;250.00;2026-03-22;250.00;0;1;2026-03-16;"CUOTA SEMANAL 1 DE 130";cuota_en_periodo_gdc
297171;1835644;1;2;ok;"Requiere ajuste de parcialidad";"Semana 12-2026";2026-03-16;2026-03-22;250.00;2026-03-17;250.00;0;2;2026-03-16;"CUOTA SEMANAL 2 DE 130";cuota_en_periodo_gdc
340221;1835644;3;4;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;4;2026-03-30;"CUOTA SEMANAL 4 DE 130";cuota_en_periodo_gdc
408970;1835644;3;8;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;8;2026-04-27;"CUOTA SEMANAL 8 DE 130";cuota_en_periodo_gdc
297172;1835665;1;2;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;2;2026-03-16;"CUOTA SEMANAL 2 DE 52";cuota_en_periodo_gdc
322673;1835665;2;3;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;3;2026-03-23;"CUOTA SEMANAL 3 DE 52";cuota_en_periodo_gdc
340222;1835665;2;4;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;4;2026-03-30;"CUOTA SEMANAL 4 DE 52";cuota_en_periodo_gdc
356593;1835665;3;5;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 15-2026";2026-04-06;2026-04-12;250.00;;;;5;2026-04-06;"CUOTA SEMANAL 5 DE 52";cuota_en_periodo_gdc
374017;1835665;5;6;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;6;2026-04-13;"CUOTA SEMANAL 6 DE 52";cuota_en_periodo_gdc
391290;1835665;6;7;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;7;2026-04-20;"CUOTA SEMANAL 7 DE 52";cuota_en_periodo_gdc
408971;1835665;7;8;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;8;2026-04-27;"CUOTA SEMANAL 8 DE 52";cuota_en_periodo_gdc
391291;1835712;1;6;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;6;2026-04-20;"CUOTA SEMANAL 6 DE 78";cuota_en_periodo_gdc
408972;1835712;2;7;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;7;2026-04-27;"CUOTA SEMANAL 7 DE 78";cuota_en_periodo_gdc
322674;1835725;2;3;ok;"Requiere ajuste de parcialidad";"Semana 13-2026";2026-03-23;2026-03-29;250.00;2026-03-30;250.00;0;3;2026-03-23;"CUOTA SEMANAL 3 DE 104";cuota_en_periodo_gdc
408973;1835738;1;8;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;8;2026-04-27;"CUOTA SEMANAL 8 DE 130";cuota_en_periodo_gdc
322675;1835759;2;3;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;3;2026-03-23;"CUOTA SEMANAL 3 DE 130";cuota_en_periodo_gdc
340223;1835770;0;1;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;1;2026-03-30;"CUOTA SEMANAL 1 DE 130";cuota_en_periodo_gdc
271102;1835823;0;1;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;1;2026-03-09;"CUOTA SEMANAL 1 DE 104";cuota_en_periodo_gdc
322676;1835824;1;2;ok;"Requiere ajuste de parcialidad";"Semana 13-2026";2026-03-23;2026-03-29;250.00;2026-03-30;250.00;0;2;2026-03-23;"CUOTA SEMANAL 2 DE 104";cuota_en_periodo_gdc
271103;1835829;0;1;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;1;2026-03-09;"CUOTA SEMANAL 1 DE 78";cuota_en_periodo_gdc
297173;1835829;1;2;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;2;2026-03-16;"CUOTA SEMANAL 2 DE 78";cuota_en_periodo_gdc
