id_gastos_cobranza;Id_credito;parcialidad_actual;parcialidad_calculada;estatus;detalle;semana;periodo_inicio;periodo_fin;monto_local;nota_fecha_s2;nota_monto_s2;nota_indice_s2;cuota_id_cargo;cuota_fecha_vencimiento;cuota_concepto;metodo_calculo
8971;767198;50;50;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 5-2026";2026-01-26;2026-02-01;250.00;;;;50;2026-01-26;"CUOTA SEMANAL 50 DE 156";cuota_en_periodo_gdc
133422;767198;51;51;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 06-2026";2026-02-02;2026-02-08;250.00;;;;51;2026-02-02;"CUOTA SEMANAL 51 DE 156";cuota_en_periodo_gdc
157219;767198;51;52;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 07-2026";2026-02-09;2026-02-15;250.00;;;;52;2026-02-09;"CUOTA SEMANAL 52 DE 156";cuota_en_periodo_gdc
181608;767198;52;53;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 08-2026";2026-02-16;2026-02-22;250.00;;;;53;2026-02-16;"CUOTA SEMANAL 53 DE 156";cuota_en_periodo_gdc
206543;767198;53;54;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;54;2026-02-23;"CUOTA SEMANAL 54 DE 156";cuota_en_periodo_gdc
232125;767198;54;55;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;55;2026-03-02;"CUOTA SEMANAL 55 DE 156";cuota_en_periodo_gdc
397243;767198;7;63;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;63;2026-04-27;"CUOTA SEMANAL 63 DE 156";cuota_en_periodo_gdc
8972;767238;49;49;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 5-2026";2026-01-26;2026-02-01;250.00;;;;49;2026-01-26;"CUOTA SEMANAL 49 DE 156";cuota_en_periodo_gdc
133423;767238;49;50;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 06-2026";2026-02-02;2026-02-08;250.00;;;;50;2026-02-02;"CUOTA SEMANAL 50 DE 156";cuota_en_periodo_gdc
157220;767238;50;51;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 07-2026";2026-02-09;2026-02-15;250.00;;;;51;2026-02-09;"CUOTA SEMANAL 51 DE 156";cuota_en_periodo_gdc
181609;767238;51;52;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 08-2026";2026-02-16;2026-02-22;250.00;;;;52;2026-02-16;"CUOTA SEMANAL 52 DE 156";cuota_en_periodo_gdc
206544;767238;52;53;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;53;2026-02-23;"CUOTA SEMANAL 53 DE 156";cuota_en_periodo_gdc
232126;767238;53;54;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;54;2026-03-02;"CUOTA SEMANAL 54 DE 156";cuota_en_periodo_gdc
256439;767238;53;55;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;55;2026-03-09;"CUOTA SEMANAL 55 DE 156";cuota_en_periodo_gdc
281023;767238;55;56;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;56;2026-03-16;"CUOTA SEMANAL 56 DE 156";cuota_en_periodo_gdc
307335;767238;55;57;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;57;2026-03-23;"CUOTA SEMANAL 57 DE 156";cuota_en_periodo_gdc
328258;767238;56;58;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;58;2026-03-30;"CUOTA SEMANAL 58 DE 156";cuota_en_periodo_gdc
345535;767238;57;59;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 15-2026";2026-04-06;2026-04-12;250.00;;;;59;2026-04-06;"CUOTA SEMANAL 59 DE 156";cuota_en_periodo_gdc
362255;767238;12;60;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;60;2026-04-13;"CUOTA SEMANAL 60 DE 156";cuota_en_periodo_gdc
379891;767238;13;61;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;61;2026-04-20;"CUOTA SEMANAL 61 DE 156";cuota_en_periodo_gdc
397244;767238;14;62;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 18-2026";2026-04-27;2026-05-03;250.00;;;;62;2026-04-27;"CUOTA SEMANAL 62 DE 156";cuota_en_periodo_gdc
8973;767361;50;50;sin_cambio;"La parcialidad actual ya coincide";"Semana 5-2026";2026-01-26;2026-02-01;250.00;2026-01-28;250.00;0;50;2026-01-26;"CUOTA SEMANAL 50 DE 104";cuota_en_periodo_gdc
256440;767361;55;56;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;56;2026-03-09;"CUOTA SEMANAL 56 DE 104";cuota_en_periodo_gdc
