id_sucursal,excel_sucursal,Coordenadas,excel_lat,excel_lng,latitud,longitud
1297,TVS IRAPUATO,"20,6742324,-101.3595994",20.0,674.0,20.6742203,-101.3595288
2600,BAJAJ OAXTEPEC,"18.9073970, 98.9663847",18.907397,98.9663847,18.907397,-98.9663847
1640,VENTO JILOTEPEC,"19,953272,-99,535550",19.0,953.0,19.9477855,-99.5354004
1891,FERREMOBI HIGAREDA,"19,7396510,-102.4828995",19.0,739.0,19.7397469,-102.4829375
1466,ZOOM METEPEC,0121 800011937 71153,121.0,800.0,19.2851864,-99.5945424
2620,VENTO TIZARA,"19.871179,98.958189",19.871179,98.958189,19.871179,-98.958189
2521,XPRESS MOTOS GUADALUPE,"25.679684410359823,100.2577666",25.679684410359823,100.2577666,25.6796844,-100.2577666
