fk_sucursal	distribuidor_id	sucursal	direccion_sucursal	coordenadas	latitud	longitud	activo
1197	578	HONDA MISANTLA	Carretera Estatal Xalapa - Misantla, Misantla, Veracruz, 91350, México	19.931164765109163, -96.84773130412462	19.9311648	-96.8477313	1
1198	947	MULTIMARCA RIO VERDE DAVID	Boulevard Universidad, Rioverde, San Luis Potosí, 79617, México	21.9133335,-99.9865193	21.9133335	-99.9865193	1
1199	790	CF MOTO PATRIOTISMO	Av. Patriotismo 40, Escandón I Sección, Miguel Hidalgo, Ciudad de México, C.P. 11800. (Ferbel Powersports)	NULL	19.3848543	-99.1833239	1
1200	757	TVS PUEBLA MOTONETO	Boulevard Esteban de Antuñano, Puebla de Zaragoza, Municipio de Puebla, Puebla, 72130, México	19.07236395994808, -98.23846254717124	19.0723640	-98.2384625	1
1201	544	ACAPULCO CUAUHTEMOC	Calle La Trinchera, Farallón INFONAVIT, Acapulco, Acapulco de Juárez, Guerrero, 39300, México	16.868136710869432, -99.86787915315702	16.8681367	-99.8678792	1
1202	544	ACAPULCO DIAMANTE	Acapulco, Acapulco de Juárez, Guerrero, 39300, México	16.809481208201408, -99.81380582010594	16.8094812	-99.8138058	1
1203	544	PETATLAN	Petatlán, Guerrero, México	17.55153390914678, -101.1849081782761	17.5515339	-101.1849082	1
1204	544	TECPAN DE GALEANA	Colonia Piedra Parada, Técpan de Galeana, Guerrero, México	17.22886747090979, -100.52723050404055	17.2288675	-100.5272305	1
1206	544	SAN LUIS LA LOMA	Calle Altamirano, Francisco Ruiz Massieu, San Luis de la Loma, Técpan de Galeana, Guerrero, México	17.27039303122537, -100.89062973568748	17.2703930	-100.8906297	1
1207	544	ATOYAC DE ALVAREZ	Ahuacuotzingo, Guerrero, México	17.666098799245997, -98.98382597516714	17.6660988	-98.9838260	1
1208	544	CHILPANCINGO	Lázaro Cárdenas 35, Col. Universal, Chilpancingo de los Bravo, Guerrero, C.P. 39080	NULL	17.5419607	-99.4914343	1
1209	544	CHILAPA	CARRETERA CHILPANCINGO-CHILAPA	NULL	25.6536000	-100.3410000	1
1210	544	IGUALA	Huitzuco de los Figueroa, Guerrero, México	18.37651346393047, -99.27496366472153	18.3765135	-99.2749637	1
1211	708	ELEKTRAMOTOS	Calle Bahía de Corrientes, Verónica Anzures, Ciudad de México, Miguel Hidalgo, Ciudad de México, 11300, México	19.434557839851422, -99.17527400078441	19.4345578	-99.1752740	1
1212	723	CF MOTO ESTAMPIDA	Camino a las Moras, Condominio Santa Anita, San Agustín, Tlajomulco de Zúñiga, Región Centro, Jalisco, 45645, México	20.5555852,-103.4687032	20.5555852	-103.4687032	1
1213	615	VENTO TULYEHUALCO	Calle Aquiles Serdán, Colonia San Isidro, Santiago Tulyehualco, Ciudad de México, Xochimilco, Ciudad de México, 16739, México	19.256388435909564, -99.0140103423293	19.2563884	-99.0140103	1
1214	615	VENTO MIXIUHCA	San Pablo, Avenida Morelos, Pueblo Magdalena Mixiuhca, Magdalena Mixhuca, Ciudad de México, Venustiano Carranza, Ciudad de México, 15860, México	19.408871573198702, -99.11444729182982	19.4088716	-99.1144473	1
1215	837	EL ARCO ALLENDE CARRETERA	Carretera Nacional Km 205, Allende, Nuevo León, C.P. 67350	NULL	NULL	NULL	1
1216	837	EL ARCO LINARES	Carretera Nacional Km 155, Linares, Nuevo León, C.P. 67700	NULL	25.2873686	-100.0275959	1
1217	837	EL ARCO MONTEMORELOS	Carretera Nacional Km 221, Montemorelos, Nuevo León, C.P. 67500	NULL	24.8580469	-99.5693246	1
1218	837	EL ARCO ALLENDE CENTRO	Calle Venustiano Carranza, Centro, Allende, Nuevo León, 67350, México	25.2814923937685, -100.01970839004655	25.2814924	-100.0197084	1
1219	828	TRECK CHALCO	Avenida Cuauhtémoc, La Bomba, Chalco de Díaz Covarrubias, Chalco, Estado de México, 56605, México	19.27493362632143, -98.88584422964725	19.2749336	-98.8858442	1
1220	899	MOTOFUSION	Calle General Mariano Escobedo, Hermosillo, Sonora, 83190, México	29.0854744,-110.9583206	29.0854744	-110.9583206	1
1221	550	DINAMO CD.VALLES	Sergio Corte y Color, 611, Calle General Blas Escontría, Zona Centro, Ciudad Valles, San Luis Potosí, 79000, México	21.98742083188639, -99.01320973068063	21.9874208	-99.0132097	1
1224	709	ZONTES PERIFERICO	Boulevard Adolfo López Mateos, Colonia Nonoalco, Mixcoac, Ciudad de México, Benito Juárez, Ciudad de México, 03700, México	19.383667975242197, -99.19120847648912	19.3836680	-99.1912085	1
1225	843	TVS LOS REYES	Uruapan-Los Reyes, Peribán de Ramos, Peribán, Michoacán, 60440, México	19.5659266,-102.4586275	19.5659266	-102.4586275	1
1228	1047	MOTOCENTER TVS BERRIOZABAL	Calle 2 Poniente Norte, Berriozábal, Chiapas, México	16.807408743579884, -93.27287022724884	16.8074087	-93.2728702	1
1229	844	RYSE MEGA	Blvd. José María Morelos 3555, Col. San Isidro, León, Guanajuato, C.P. 37295	NULL	17.3401000	-98.0100000	1
1230	844	RYSE GUERRERO	28, Calle Morelos, San Miguel, Irapuato, Guanajuato, 36510, México	20.67770, -101.34943	20.6777000	-101.3494300	1
1231	844	RYSE ABASTOS	Blvd. Timoteo Lozano 501, Col. Ciudad Industrial, León, Guanajuato, C.P. 37490	NULL	32.4969973	-116.9535963	1
1232	844	RYSE FAJA DE ORO	Av. Faja de Oro 1201, Col. Guadalupe, Salamanca, Guanajuato, C.P. 36740	NULL	20.5780520	-101.1998480	1
1233	844	RYSE MORELOS	1204, Boulevard Libramiento José María Morelos, El Condado Plus, León, Guanajuato, 37218, México	21.163759364919425, -101.65013328789668	21.1637594	-101.6501333	1
1234	844	RYSE RAMON CORONA	Blvd. Juan José Torres Landa 1901, León, Guanajuato, C.P. 37480	NULL	19.2370714	-103.7268566	1
1235	844	RYSE LOPEZ MATEOS	Blvd. Adolfo López Mateos Oriente 1702, León, Guanajuato, C.P. 37260	NULL	21.1169446	-101.6585352	1
1236	844	RYSE ZAMORA	NULL	NULL	NULL	NULL	1
1237	844	RYSE SILAO	Carretera León–Silao Km 5.5, Silao de la Victoria, Guanajuato, C.P. 36100	NULL	20.9452100	-101.4183900	1
1239	1000	HONDA OMETEPC	José María Morelos y Pavón, Ometepec, Guerrero, 41700, México	16.685218,-98.402977	16.6852180	-98.4029770	1
1240	999	BAJAJ OMETEPEC	José Agustín Ramirez, Cruz de Corazón, Ometepec, Guerrero, México	16.691099,-98.427241	16.6910990	-98.4272410	1
1241	999	CFMOTO OMETEPEC	José Agustín Ramirez, Cruz de Corazón, Ometepec, Guerrero, México	16.690623,-98.429901	16.6906230	-98.4299010	1
1242	954	CF MOTO SANTA FE	Corporativo Comercial, Calle Mario Pani, Santa Fe Cuajimalpa, Memetla, Ciudad de México, Cuajimalpa de Morelos, Ciudad de México, 05348, México	19.361560679268546, -99.27757237648976	19.3615607	-99.2775724	1
1247	603	HONDA MOTOS BC TIJUANA	BLVD. PADRE KINO	32°31'59.6"N 117°00'52.7"W	32.5017526	-117.0455871	1
1248	549	VENTO CUAUTZINGO	Carretera Chalco - Cuautzingo - San Mateo Tezoquiapan - Miraflores, La Taberna, Chalco de Díaz Covarrubias, Chalco, Estado de México, 56600, México	19.26302, -98.86962	19.2630200	-98.8696200	1
1249	549	VENTO SAN BERNABE	Av. San Jerónimo	NULL	19.3114289	-99.2594515	1
1251	603	HONDA MOTOS BC ENSENADA	NULL	NULL	NULL	NULL	1
1252	640	ITALIKA OCUITUCO	Calle Agrarismo, Ocuituco, Morelos, México	18.87506094696225, -98.77608632883535	18.8750609	-98.7760863	1
1254	948	BAJAJ TAMANZUNCHALE	NULL	NULL	21.2485000	-98.7738000	1
1255	948	BAJAJ CIUDAD VALLES	Tiendita La Providencia, 5, Calle Cedro, Colonia Doracely, Ciudad Valles, San Luis Potosí, 79020, México	22.00076280886844, -99.01769278400712	22.0007628	-99.0176928	1
1256	838	CF MOTO MONTERREY	Avenida Paseo de los Leones, Cumbres, Monterrey, Nuevo León, 64600, México	25.69687675704414, -100.35501428650622	25.6968768	-100.3550143	1
1257	792	BAJAJ IGUALA CENTRAL DE ABASTOS	Fovissste	18.36152 N, 99.52854 O	18.3627000	-99.5285000	1
1258	792	ITALIKA IGUALA	Platanillo, Iguala, Iguala de la Independencia, Guerrero, 40000, México	18.36748133944783, -99.50954490302082	18.3674813	-99.5095449	1
1260	1014	HONDA MOTOS LA PAZ	Blvd. Forjadores de Sudcalifornia 4205, Col. Bella Vista, La Paz, Baja California Sur, C.P. 23050	NULL	24.1367500	-110.3123200	1
1263	1014	HONDA MOTOS LOS CABOS	Carretera Transpeninsular Km 34.5, Col. El Tezal, Cabo San Lucas, Baja California Sur, C.P. 23454	NULL	22.8945766	-109.9162779	1
1264	607	HONDA VALLEJO	Calle Poniente 148, Unidad Habitacional Lindavista Vallejo (Manzana I), Ciudad de México, Gustavo A. Madero, Ciudad de México, 07720, México	19.50076611999515, -99.15581491779471	19.5007661	-99.1558149	1
1266	741	KREDI CEL COATEPEC	Avenida 16 de Septiembre, Finca Todd Centenario, Coatepec, Veracruz, 91615, México	19.453108, -96.955412	19.4531080	-96.9554120	1
1267	741	KREDI CEL PEROTE	Avenida Alejandro Von Humboldt, Perote, Veracruz, 21272, México	19.563331, -97.244203	19.5633310	-97.2442030	1
1268	929	TVS QUERETARO-1	ROMULO BAUTISTA 9, CENTRO, 76000, SANTIAGO DE QUERETARO, QRO.	NULL	20.5804096	-100.4118028	1
1269	554	CF MOTO ORIZABA	Avenida 1, Fidel Velázquez, Orizaba, Veracruz, 94300, México	18.85308005774342, -97.07963911283495	18.8530801	-97.0796391	1
1270	554	GEOMOTOS LOMAS BONITA	Morelos	NULL	18.1098491	-95.8806488	1
1271	564	QJ MOTOR BENDA DURANGO	BLVD FELIPE PESCADOR #200 COLONIA ZONA CENTRO	NULL	24.0350356	-104.6688609	1
1272	885	DISPARK AUTLAN	JAL-502, Autlán de Navarro, Región Costa Sur, Jalisco, 48900, México	19.766019, -104.341609	19.7660190	-104.3416090	1
1273	1040	PIVAZ MOTO	Andador 1a Poniente, Paraíso Ojo de Agua, Tuxtla Gutiérrez, Chiapas, 29030, México	16.761482718257103, -93.13660511946958	16.7614827	-93.1366051	1
1276	549	VENTO MIXQUIC	Carretera Chalco-Mixquic, Valle de los Volcanes, Chalco de Díaz Covarrubias, Chalco, Estado de México, 56600, México	19.24653725994649, -98.9058349202955	19.2465373	-98.9058349	1
1277	549	VENTO SOLIDARIDAD	Bodega Soriana Solidaridad, Avenida del Canal, Colonia Unión de Guadalupe, Chalco de Díaz Covarrubias, Chalco, Estado de México, 56607, México	19.27980, -98.91197	19.2798000	-98.9119700	1
1278	549	VENTO IRAPUATO	Blvd. Díaz Ordaz 1570, Col. Las Reynas, Irapuato, Guanajuato, C.P. 36660	NULL	20.6969551	-101.3653172	1
1279	549	VENTO TORRES LANDA	526, Avenida de las Rosas, Jardines De Jerez, León, Guanajuato, 37530, México	21.098215, -101.642281	21.0982150	-101.6422810	1
1280	549	VENTO ALAIA	31, Calle Pedro Hernández Valenciano, Burocrata, Yerbabuena, Municipio de Guanajuato, Guanajuato, 36256, México	20.978021273872326, -101.2795210393295	20.9780213	-101.2795210	1
1281	549	VENTO SALVATIERRA	Carretera Libramiento de Salvatierra, Santo Domingo, Salvatierra, Guanajuato, 38900, México	20.220421, -100.882576	20.2204210	-100.8825760	1
1282	549	VENTO MOROLEON	17, Calle 16 de Septiembre, Zona Centro, Moroleón, Guanajuato, 38800, México	20.131141, -101.190885	20.1311410	-101.1908850	1
1283	549	VENTO CELAYA CENTRO	533, Boulevard Adolfo López Mateos, San Miguel, Celaya, Guanajuato, 38068, México	20.520411, -100.819001	20.5204110	-100.8190010	1
1284	549	VENTO ABASOLO	129, Calle Guerrero, Las Cabrillas, Abasolo, Guanajuato, 36973, México	20.453216013017062, -101.527753124309	20.4532160	-101.5277531	1
1285	549	VENTO CAPU PUEBLA	Boulevard Norte, Zona CAPU, Puebla de Zaragoza, Municipio de Puebla, Puebla, 72050, México	19.073875098657183, -98.20018325996301	19.0738751	-98.2001833	1
1286	549	VENTO CD GUZMAN	Lateral Calzada Madero y Carranza, Ciudad Guzmán, Zapotlán el Grande, Región Sur, Jalisco, 49052, México	19.70260486241342, -103.48422109316498	19.7026049	-103.4842211	1
1287	549	VENTO TEPATITLAN	Boulevard Licenciado Anacleto González Flores, LA TOSCANA, San José de Bazarte, Tepatitlán de Morelos, Región Altos Sur, Jalisco, 47635, México	20.823659557793437, -102.75031643068678	20.8236596	-102.7503164	1
1288	549	VENTO ZAPOTLANEJO	Carretera Libre a Zapotlanejo, Zapotlanejo, Región Centro, Jalisco, 45430, México	20.613324571883037, -103.08311873506388	20.6133246	-103.0831187	1
1289	930	HONDA VYM SALAMANCA	205, Calle Nogal, Progreso Industrial, Salamanca, Guanajuato, 36750, México	20.567021125486875, -101.1884171791457	20.5670211	-101.1884172	1
1290	545	TVS ACAPULCO	Avenida Cuauhtémoc, Parque Papagayo, Acapulco, Acapulco de Juárez, Guerrero, 39300, México	16.860755, -99.890979	16.8607550	-99.8909790	1
1291	618	BIKER DEALER GROUP XOCHIMILCO	NULL	NULL	NULL	NULL	1
1292	549	VENTO BOULEVARD DE LOS AZTECAS	Avenida Circunvalación Sur, Colonia Prados de Santa Clara, Ecatepec de Morelos, Atenco, Estado de México, 55127, México	19.546042, -99.041575	19.5460420	-99.0415750	1
1293	549	VENTO LA CUSPIDE	Banorte, Súper Avenida Lomas Verdes, Lomas Verdes, Naucalpan de Juárez, Estado de México, 53120, México	19.5139450, -99.2666430	19.5139450	-99.2666430	1
1294	549	VENTO VASCO DE QUIROGA	San Antonio Zomeyucan, Los Remedios, San Esteban, Naucalpan de Juárez, Estado de México, 53570, México	19.44507416993275, -99.24079871661681	19.4450742	-99.2407987	1
