fk_sucursal	distribuidor_id	sucursal	direccion_sucursal	coordenadas	latitud	longitud	activo
1	1078	Corporativo	NULL	NULL	NULL	NULL	1
6	1078	CIUDAD DE MEXICO	NULL	NULL	NULL	NULL	1
15	749	BAJAJ SAN MARTIN TEXMELUCAN	Libertad Norte	NULL	19.2861500	-98.4401800	1
16	1019	BAJAJ ATOTONILCO	Revolución	NULL	20.5501575	-102.5083101	1
17	692	BAJAJ LA BARCA	Adolfo Ruiz Cortines	NULL	20.2899900	-102.5461300	1
18	692	BAJAJ SALTO	Heliodoro Hernández Loza 436, Potrero Nuevo, 45680 El Salto, Jal.	NULL	NULL	NULL	1
19	570	AZCAPOTZALCO	Av. Prof.ª Eulalia Guzmán	NULL	19.4862820	-99.2169120	1
20	570	BAJAJ ATIZAPAN	Av. Adolfo Ruiz Cortines 202, Las Alamedas, 52979 Cdad. López Mateos, Méx.	NULL	19.5568800	-99.2453700	1
21	694	BAJAJ SATELITE	Hacienda de la Gavia 1-B, Bosques de Echegaray, 53310 Mexico, Méx.	NULL	19.4884800	-99.2361300	1
22	570	SOR JUANA	Av Sor Juana Inés de La Cruz 327, Centro Industrial Tlalnepantla, 54030 Mexico, Méx.	NULL	19.5399876	-99.2097730	1
23	695	BAJAJ LAGO DE GUADALUPE	Av Lago de Guadalupe S/N, Margarita Maza de Juárez, 52926 Cdad. López Mateos, Méx.	NULL	19.5854000	-99.2279000	1
24	613	BAJAJ NAUCALPAN	San Andrés Atoto 35-Local 4, San Esteban, 53550 Naucalpan de Juárez, Méx.	NULL	19.4556640	-99.2338480	1
25	696	BAJAJ NICOLAS ROMERO	Avenida 1 de Mayo Manzana 033 Lote 20, Hidalgo, 54434 Cdad. Nicolás Romero, Méx.	NULL	19.6196400	-99.3154400	1
27	857	BAJAJ QUINTANA PONIENTE	PROL BERNARDO QUINTANA	NULL	20.6292000	-100.4670000	1
28	697	BAJAJ TEPOTZOTLAN	Paseo de las Bugambilias 31 - 286, San Mateo Xoloc, 54600 Estado de México, Méx.	NULL	19.7126528	-99.2191222	1
29	729	BAJAJ TLAQUEPAQUE	Blvd. Gral. Marcelino García Barragán	NULL	20.6454506	-103.3202669	1
30	590	BAJAJ VALLE DE BRAVO	5WX2+53, De Guadalupe, 51200 Valle de Bravo, Méx.	NULL	19.1979275	-100.0997792	1
32	976	BAJAJ ZAPOTLANEJO	AV. GUADALUPE VICTORIA C.C. ZAPOTLANEJO # S/N LOC. 8 ZONA E, SAGRADO CORAZON, CP45430,  ZAPOTLANEJO , JALISCO.	20.37.19N - 103.03.55W	20.6216902	-103.0651009	1
33	742	VENTO CAMELIAS	Periférico Paseo de la República	NULL	19.6813833	-101.1873936	1
34	742	VENTO CHAPULTEPEC	Periférico Paseo de la República	NULL	19.6889166	-101.1651843	1
35	742	VENTO MORELIA CHAPULTEPEC	Periférico Paseo de la República	NULL	19.6937550	-101.1737640	1
36	742	VENTO MORELIA PERIFERICO	periférico paseo de la república #639 col Félix ireta	NULL	19.6813833	-101.1873936	1
37	604	CARABELA COACALCO	Carlos Pichardo Cruz Nº37, San Rafael, 55719 San Francisco Coacalco, Méx.	NULL	19.6472600	-99.0860300	1
41	822	EVOLUCION YAMAHA	Carr Federal México-Cuautla 807, Casco de San Juan, 56600 Chalco de Díaz Covarrubias, Méx.	NULL	19.2751000	-98.8830300	1
43	817	MOTOS CENTRAL	Eje Central Lázaro Cárdenas	NULL	19.3869000	-99.1469100	1
44	977	BAJAJ 8 DE JULIO	AV 8 DE JULIO	NULL	20.6316958	-103.3681383	1
45	624	BAJAJ INSURGENTES SUR	Av. Insurgentes Sur	NULL	19.3866000	-99.1734000	1
46	1048	VENTO PURUANDIRO	Avenida Independencia, Puruándiro, Michoacán, 58500, México	20.0890451,-101.5221282	20.0890451	-101.5221282	1
47	934	BAJAJ ATLACOMULCO	Cda. Juan de Dios Peza 200, Colonia Centro, 50450 Atlacomulco, Méx.	NULL	19.7975113	-99.8755968	1
48	635	BAJAJ CELAYA	Blvd. Adolfo López Mateos	NULL	20.5189600	-100.8085200	1
50	635	BAJAJ LEON NORTE	Blvd. Adolfo López Mateos	NULL	21.1303000	-101.6881400	1
51	635	BAJAJ LEON SUR	BLVD ADOLFO LOPES MATEOS	NULL	21.1048373	-101.6400766	1
52	635	BAJAJ SAN FRANCISCO	Centro Comercial Plazarela, 200, Calle Manuel Doblado, Portones De Las Lomas, San Francisco del Rincón, Guanajuato, 36300, México	21.022333, -101.850893	21.0223330	-101.8508930	1
53	601	BAJAJ SAN JUAN DEL RIO	Avenida Benito Juárez Poniente, San Juan del Río, Querétaro, 76803, México	20.385322577804466, -100.00426670412448	20.3853226	-100.0042667	1
54	635	BAJAJ IZCALLI	Calz. de Guadalupe 3, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx.	NULL	19.6685900	-99.1971500	1
56	945	BAJAJ RIOVERDE	Carlos Jonguitud Barrios	NULL	21.9253100	-100.0014400	1
57	945	BAJAJ SAN LUIS	Av. Industrias	NULL	21.2894000	-100.5264000	1
60	591	TVS ZINACANTEPEC	Lic. Adolfo López Mateos 228, Zimbrones, 51355 San Miguel Zinacantepec, Méx.	NULL	19.2883000	-99.7217000	1
61	882	BAJAJ GUANAJUATO	NULL	NULL	20.9848708	-101.2848645	1
62	1009	BAJAJ SAN MATEO ATENCO	AV LIC BENITO JUAREZ	NULL	19.2812870	-99.5288210	1
63	1009	BAJAJ TORRES METEPEC	Blvd. Solidaridad las Torres 23, San Jeronimo Chicahualco, 52170 San Jerónimo Chicahualco, Méx.	NULL	19.2791000	-99.5922000	1
65	728	BAJAJ FEDERALISMO	3162, Avenida Santa Margarita, Santa Margarita, Zapopan, Región Centro, Jalisco, 45210, México	20.730104999852617, -103.42298909088133	20.7301050	-103.4229891	1
66	728	BAJAJ SANTA MARGARITA	3162, Avenida Santa Margarita, Santa Margarita, Zapopan, Región Centro, Jalisco, 45210, México	20.73012,-103.42294	20.7301200	-103.4229400	1
67	728	BAJAJ TALA	Solidaridad	NULL	20.6497000	-103.7000000	1
72	894	TVS MERIDA	Calle 60	NULL	20.9926900	-89.6540700	1
74	720	BAJAJ INDEPENDENCIA	CALZADA INDEPENDENCIA NORTE 416 COLONIA LA PERLA CP 44360	https://www.bing.com/maps/search?mepi=57%7E%7EEmbedded%7ELargeMapLink&ty=18&v=2&sV=1&FORM=MIRE&style	20.6741817	-103.3500996	1
78	681	BAJAJ ANGELOPOLIS	Avenida Orión Norte	NULL	19.0728038	-98.2498769	1
79	681	BAJAJ ATLIXCO	Boulevard Niños Héroes	NULL	NULL	NULL	1
80	681	BAJAJ CHOLULA	Blvd. Forjadores de Puebla	NULL	19.0645600	-98.2992460	1
81	743	BAJAJ METEPEC	CARR TOLUCA- IXTAPAN	NULL	19.2506100	-99.6129100	1
82	743	BAJAJ MORELIA MADERO	NULL	NULL	NULL	NULL	1
83	744	BAJAJ PATZCUARO	Libramiento Ignacio Zaragoza	NULL	19.5155600	-101.6058130	1
84	633	BAJAJ AJUSCO	Carr. Picacho-Ajusco	NULL	19.2824200	-99.2158400	1
85	633	BAJAJ FORUM	INSUEGENTES CENTRO	NULL	19.4378390	-99.1563058	1
86	633	BAJAJ LINDAVISTA	Av. Instituto Politécnico Nacional	NULL	19.4987010	-99.1317010	1
88	592	BAJAJ LAS AGUILAS	NULL	NULL	NULL	NULL	1
89	592	BAJAJ TOLUCA CENTRO	NULL	NULL	NULL	NULL	1
91	601	BAJAJ TEZONTEPEC	CARRETERA FEDERAL PACHUCA- MEXICO	NULL	NULL	NULL	1
92	593	BAJAJ IXTAPAN DE LA SAL	Taxco - Ixtapan de la sal Manzana 021, 51905 Ixtapan de la Sal, Méx.	NULL	18.8431063	-99.6763053	1
93	876	BAJAJ SAN LUIS DE LA PAZ	Libramiento Sur	NULL	21.2894000	-100.5264000	1
94	876	HONDA DOLORES HIDALGO	NULL	NULL	NULL	NULL	1
95	876	HONDA SAN FELIPE	NULL	NULL	NULL	NULL	1
96	876	HONDA SAN LUIS GTO	San Luis de la Paz - Dolores Hidalgo	NULL	21.3870500	-100.8649200	1
100	561	ITALIKA MANZANILLO	Blvd. Lic. Miguel de la Madrid Hurtado	19.119582, - 104.36113	19.1196200	-104.3600800	1
105	721	BAJAJ TONALA	Famsa, Calle Maple, Tonalá, Región Centro, Jalisco, 44824, México	20.64084045425204, -103.27847577170424	20.6408405	-103.2784758	1
107	562	BAJAJ BOCA DEL RIO	Avenida Urano	NULL	19.1448895	-96.1042210	1
108	562	BAJAJ POZA RICA	Boulevard Adolfo Ruiz Cortines	NULL	20.5407000	-97.4548600	1
109	562	BAJAJ TIERRA BLANCA	Avenida Aquiles Serdán	NULL	18.4495900	-96.3563000	1
110	562	BAJAJ TUXTEPEC	5 de Mayo	NULL	18.0610990	-96.1491178	1
111	562	BAJAJ VERACRUZ	Avenida Cuauhtémoc	NULL	19.1608611	-96.1195484	1
112	562	BAJAJ XALAPA	Avenida Américas	NULL	19.5355661	-96.9120476	1
113	562	JL RACING BOCA DEL RÍO	AV URANO 820, JARDINES DEL VIRGINIA, 94294, BOCA DEL RIO VER.	NULL	19.1575235	-96.1157867	1
114	562	ZMOTOS TUXTEPEC-IM	Avenida 5 de Mayo, Tuxtepec, San Juan Bautista Tuxtepec, Oaxaca, 68300, México	18.0857955029957, -96.13319856773147	18.0857955	-96.1331986	1
115	777	BAJAJ TEOLOYUCAN	Av. Del Lago, No. 2, Local 1, Barruio Tepanquiahuac, Santa Cruz, 54770 Teoloyucan, Méx.	NULL	19.7525696	-99.1611135	1
116	777	BAJAJ TULA	Calz. Melchor Ocampo	NULL	20.0521000	-99.3349000	1
117	777	YAMAHA TEOLOYUCAN	Del Lago 211, Analco, 54783 Teoloyucan, Méx.	NULL	19.7376047	-99.1822724	1
118	971	JASA MOTOS SANTA FE	Boulevard Colón	NULL	19.7514307	-99.1599926	1
119	646	BAJAJ CUAUTLA	BALUARTE 3 AV GRAL GABRIEL TEPEPA	NULL	18.8159400	-98.9483300	1
120	646	BAJAJ CUERNAVACA	Av. Plan de Ayala 1501, Col. Teopanzolco, Cuernavaca, Morelos, C.P. 62350	NULL	18.9355710	-99.2034380	1
121	646	CFMOTOS CUERNAVACA	AV. DIANA	NULL	18.9360000	-99.2000000	1
122	646	KAWASAKI CUERNAVACA	Avenida Río Mayo	NULL	18.9346700	-99.2063100	1
123	646	SUZUKI CUAUTLA	Avenida Reforma	NULL	18.8264100	-98.9461400	1
126	722	BAJAJ AMECA	Calzada Lic. Flavio Romero de Velazco	NULL	20.5401124	-104.0427403	1
127	698	BAJAJ COLIMA	Calzada General Pedro A. Galván Norte, Barrio El Manrique, Colima, Municipio de Colima, Colima, 28000, México	19.238677978790154, -103.71732753416377	19.2386780	-103.7173275	1
128	698	BAJAJ MANZANILLO	Calle Avellana, Viveros Pelayo, Manzanillo, Colima, 28200, México	19.110289696065085, -104.32569298907501	19.1102897	-104.3256930	1
130	745	BAJAJ MORELIA NORTE	Avenida Morelos Norte	NULL	19.7278346	-101.1835405	1
132	564	CFMOTO MAZATLAN	INTERNACIONAL	NULL	23.2453000	-106.4190000	1
133	564	VENTO DURANGO-1	Boulevard Felipe Pescador, Zona Centro, Victoria de Durango, Municipio de Durango, Durango, 34000, México	24.0352461,-104.6683969	24.0352461	-104.6683969	1
134	605	CAFETALES	Av. Cafetales	NULL	19.3081000	-99.1117000	1
135	605	CHAPULTEPEC	Gral. Pedro Antonio de Los Santos	NULL	19.4112872	-99.1827504	1
136	605	ECATEPEC	Av. Central Fracción	NULL	19.6210000	-99.0009000	1
137	605	EJERCITO	Cerca de, Av. Ejército Nacional Mexicano	NULL	19.4332013	-99.1741925	1
138	605	PACIFICO	Av Pacífico	NULL	31.8705806	-116.6270400	1
139	605	REVOLUCION	Av. Revolución	NULL	19.3879070	-99.1866070	1
140	605	TLALPAN	Calz. de Tlalpan	NULL	19.3201839	-99.1377507	1
141	677	HONDA GUTENBERG	Gutenberg	NULL	19.4333431	-99.1733507	1
143	677	TVS TULTEPEC	NULL	NULL	NULL	NULL	1
144	728	BAJAJ TEQUILA	Carretera Internacional	NULL	20.8672471	-103.8352436	1
145	901	HONDA MOTOCENTRO PERISUR	Periférico Sur	NULL	19.3011236	-99.1634212	1
146	683	BAJAJ CUAJIMALPA	Av. José María Castorena	NULL	19.3577856	-99.2943463	1
147	683	BAJAJ PATRIOTISMO	C. 5 55, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX	NULL	19.3939200	-99.1815600	1
148	683	BAJAJ TLALPAN	Calz. de Tlalpan	NULL	19.3655972	-99.1419767	1
149	814	MOTOMETA SAN PABLO	Plaza de San Pablo	NULL	19.4259600	-99.1291600	1
150	814	MOTOMETA MARINA	Laguna de Términos	NULL	19.4369549	-99.1791007	1
152	635	BAJAJ ZARAGOZA	PROL AV ZARAGOZA	NULL	19.4177400	-99.0917600	1
154	971	JASAMOTOS FEDERALISMO	AV. FEDERALISMO SUR	NULL	20.6647200	-103.3557500	1
155	971	JASAMOTOS SANTA ANA	Av. Ramón Corona 120, Santa Ana Tepetitlán, Zapopan, Jalisco, C.P. 45230	NULL	30.5434000	-111.1262000	1
156	971	JASAMOTOS SANTA FE	Av. Adolf B. Horn Jr. 1450, Fracc. Santa Fe, Tlajomulco de Zúñiga, Jalisco, C.P. 45653	NULL	19.3825000	-99.2423000	1
157	778	BAJAJ CARDENAS	Plaza Oslo, Lázaro Cárdenas del Río	NULL	17.9941967	-93.3778043	1
158	778	BAJAJ COMALCALCO	Profesor A. Hernández Olive	NULL	18.2540979	-93.2248281	1
159	778	BAJAJ VILLAHERMOSA	Periférico Carlos Pellicer Cámara	NULL	17.9934289	-92.9196878	1
160	553	BAJAJ CORDOBA	Av. 9	NULL	18.8913775	-96.9368170	1
161	553	BAJAJ ORIZABA	Oriente 6	NULL	18.8548560	-97.0753714	1
163	674	MOTOCARROS MUEVETEC	Juárez S/N, Himno Nacional, 54434 Cdad. Nicolás Romero, Méx.	NULL	19.6243000	-99.3224000	1
164	634	MULTIMOTOS XOCHIMILCO	NULL	NULL	NULL	NULL	1
165	611	BAJAJ TEPALCATES	Calz. Ignacio Zaragoza	NULL	19.3913000	-99.0456000	1
166	897	BAJAJ GIGANTERA	Hacienda de La Calerilla	NULL	20.5861000	-103.4003000	1
168	571	BAJAJ DURANGO	BLVD. FELIPE PESCADOR	NULL	24.0410000	-104.6612900	1
169	607	HONDA CENTRAL	Eje 1 Nte.	NULL	19.4441898	-99.1419956	1
170	607	HONDA INSURGENTES	Avenida Insurgentes Sur, Colonia Del Valle, Del Valle, Ciudad de México, Benito Juárez, Ciudad de México, 03103, México	19.399246004926383, -99.17056700660022	19.3992460	-99.1705670	1
171	607	HONDA NEZAHUALCOYOTL	Av. Pantitlán 295, Modelo, 57530 Cdad. Nezahualcóyotl, Méx.	NULL	19.4008300	-99.0319100	1
173	569	BAJAJ AEROPUERTO	CALLE NTE.17 MOCTEZUMA 2DA SECC	NULL	19.4332700	-99.1047900	1
174	569	BAJAJ CENTRO	AV.RIO DE LA LOZA	NULL	19.3866000	-99.1734000	1
175	569	BAJAJ CHALCO	Av. Cuauhtémoc Ote. 1000, Zona Industrial, 56600 Chalco de Díaz Covarrubias, Méx.	NULL	19.2645005	-98.9015107	1
176	569	BAJAJ ERMITA	Ermita Iztapalapa	NULL	19.3581983	-99.1244874	1
177	569	BAJAJ GUADALAJARA	Calzada Independencia Norte	NULL	20.6316958	-103.3681383	1
178	569	BAJAJ NEZAHUALCOYOTL	Av. Chimalhuacán 490, Benito Juárez, 57000 Cdad. Nezahualcóyotl, Méx.	NULL	19.3996200	-99.0012200	1
179	569	BAJAJ SANTA MARTHA	Calzada Ermita Iztapalapa, Colonia Paraje Zacatepec, Santa María Aztahuacan, Ciudad de México, Iztapalapa, Ciudad de México, 09520, México	19.353832426389083, -99.01180192066667	19.3538324	-99.0118019	1
182	870	BAJAJ LEON LAS TORRES	BLVD JUAN ALONSO DE TORRES	NULL	21.1468238	-101.6523960	1
183	912	BAJAJ LORETO	Prof. Gregorio Torres Quintero	NULL	22.2713385	-101.9877675	1
184	1036	HONDA LERMA	C. Benito Juárez 3804, San Pedro Tultepec, 52030 San Pedro Tultepec, Méx.	NULL	19.2645900	-99.5129900	1
185	1036	HONDA METEPEC	Del Canal 351, Espiritu Santo, 52140 Metepec, Méx.	NULL	19.2701700	-99.6294800	1
186	825	BAJAJ IXTAPALUCA	Carr Federal México-Cuautla Manzana 224, Geovillas Santa Barbara, 56530 Ixtapaluca, Méx.	NULL	19.3120000	-98.8947000	1
189	806	VENTO PACHUCA	Actopan - Pachuca, Ex Hacienda Pitahayas, 42083 Pachuca de Soto, Hgo.	NULL	20.0601000	-98.7909000	1
190	549	VENTO ACATITLA	Calz. Ignacio Zaragoza	NULL	19.3655121	-99.0073617	1
191	549	VENTO ATIZAPAN	5 de Mayo No. 2,  Col López Mateos, Atizapán Centro, Mex 52900	NULL	19.5599300	-99.2459500	1
192	549	VENTO CHALCO	Calle Enseñanza Técnica	NULL	19.2617000	-98.8968000	1
193	549	VENTO CHIMALHUACAN	Av. Peñón 325 Lote 15 Col. Barrio Tejedores Municipio de Chimalhuacán Cp. 56330 Estado de Mèxico	NULL	19.4029233	-98.9372798	1
194	549	VENTO CONDESA	AV INSURGENTES SUR	NULL	19.4094051	-99.1675516	1
196	549	VENTO CORDOBA	Avenida 11	NULL	18.8939700	-96.9505400	1
197	549	VENTO COSMOPOL	Plaza Cosmopol, Vía José López Portillo n°1, Colonia San Francisco Coacalco, Municipio de Coacalco de Berriozabal, Estado de México, C.P 55712	NULL	19.6321400	-99.1234000	1
198	549	VENTO CUAUTITLAN	NIÃ‘OS HEROES	NULL	19.6748700	-99.1589800	1
199	549	VENTO CUAUTLA	AV REFORMA	NULL	18.8416539	-98.9406594	1
200	549	VENTO CUERNAVACA	Avenida Plan de Ayala	NULL	18.9240061	-99.2147102	1
201	549	VENTO ECATEPEC	AV. CARLOS HANK GONZALEZ  205 VALLE DE ARAGON 3RA SECCION, C.P 55280 ECATEPEC DE MORELOS EDO. MEX	NULL	19.5027671	-99.0419975	1
202	549	VENTO INSURGENTES	INSURGENTES CENTRO	NULL	19.4585800	-99.1468500	1
203	549	VENTO IZCALLI	Dr. J. Jiménez Cantú 415, San Isidro, 54730 Cuautitlán Izcalli, Méx.	NULL	19.6748700	-99.1589800	1
205	549	VENTO LA VILLA	CALZ.DE GUADALUPE	NULL	19.4599026	-99.1267584	1
206	549	VENTO METEPEC	Calle Manuel J. Clouthier 1101 y 1101-A-Planta Baja, Pilares, 52179 Metepec, Méx.	NULL	19.2850401	-99.5944701	1
207	549	VENTO NAUCALPAN	LOCAL #1, EDIFICIO NUMERO 92, BOULEVARD MANUEL AVILA CAMACHO, COLONIA FRACCIONAMIENTO INDUSTRIAL ATOTO, NAUCALPAN DE JUAREZ, EDO. DE MÉXICO. C.P 53519	NULL	19.4694296	-99.2270726	1
208	549	VENTO NEZAHUALCOYOTL	Av. Adolfo López Mateos 673 Col. Benito Juarez  Municipio de Nezahualcóyotl Cp. 57000 Estado de México	NULL	19.3982234	-98.9959436	1
209	549	VENTO NICOLAS ROMERO	C. Primera de Mayo	NULL	19.6196000	-99.3089000	1
210	549	VENTO OCEANIA	AV, OCEANIA	NULL	19.4478000	-99.0812000	1
211	549	VENTO ORIZABA	Poniente 7	NULL	18.8412373	-97.1132055	1
212	549	VENTO PUEBLA SUR	Calle 16 de Septiembre	NULL	18.9949000	-97.4519000	1
213	549	VENTO ROJO GOMEZ	Av. Javier Rojo Gome	NULL	19.3844595	-99.0758073	1
214	549	VENTO SAN ANGEL	Dr. Elguero	NULL	19.3432466	-99.1909608	1
215	549	VENTO TECAMAC	Carretera Federal México - Pachuca Km. 38.50, C.P 55740, Tecámac Estado de México	NULL	19.6719100	-99.0029900	1
216	549	VENTO TECAMACHALCO	Fuente de Tritones 24,Lomas de  Tecamachalco,53125 Naucalpan de Juárez, Méx.	NULL	19.4298113	-99.2275763	1
217	549	VENTO TEXCOCO	369 Av. Juárez Sur, Texcoco Estado de México. C.P. 56140	NULL	19.5060000	-98.8832000	1
218	549	VENTO TIERRA BLANCA	C. PEDRO GARCIA 903, CENTRO, 95100, TIERRA BLANCA, VER	NULL	18.4487256	-96.3573054	1
219	549	VENTO TLAHUAC	Av. Tláhuac	NULL	19.3195799	-99.0805211	1
220	549	VENTO TLALNEPANTLA	Av.Gustavo Baz Prada 250b,Miguel Hidalgo, Tlalnepantla de Baz  Cp. 54060,Mexico	NULL	19.5431000	-99.1672000	1
221	549	VENTO TULPETLAC	Av. México #176 Esq. Vía Morelos, Santa María Tulpetlac, Ecatepec de Morelos. C.P 55400	NULL	19.5713343	-99.0492648	1
222	549	VENTO VALLE DE CHALCO	Norte #20 Esq. Av. Cuauhtémoc, Mz. 658 Lt. 26, Col. Concepción, Valle de Chalco Solidaridad, Estado de México. C.P 55615	NULL	19.3320948	-98.9488865	1
223	549	VENTO VALLEJO	Calz. Vallejo	NULL	19.4516000	-99.0532000	1
225	549	VENTO TULA	Calle Leandro Valle	NULL	20.0542360	-99.3440170	1
226	549	VENTO TULANCINGO	Santa Ana	NULL	20.0815000	-98.3835000	1
227	549	VENTO VOLCANES	31 pte	NULL	19.0375506	-98.2152219	1
228	549	VENTO ZINACANTEPEC	P.º Pdte. Adolfo López Mateos 154, Las Joyas, 51355 San Luis Mextepec, Méx.	NULL	19.2906702	-99.7072596	1
229	549	VENTO VERACRUZ	AV IGNACIO ALLENDE 1789, ZONA CENTRO, 91700 VERACRUZ, VER	NULL	19.1720605	-96.2263145	1
230	549	VENTO XALAPA	Avenida Manuel Ávila Camacho	NULL	19.5610000	-96.9256000	1
231	549	VENTO YAUTEPEC	Calle Paseo de Tlahuica	NULL	18.8795517	-99.0697581	1
232	549	VENTO ZUMPANGO	Av. Federico Gomez S/N Barrio de Santiago Segunda Sección, Zumpango Estado de México	NULL	19.7989160	-99.0978596	1
233	563	TVS PLAYA VICENTE	Calle Miguel Lerdo, Colonia Solidaridad, Playa Vicente, Veracruz, México	17.830990539065056, -95.81378737465417	17.8309905	-95.8137874	1
236	594	ZOOM AJUSCO	Carr. Picacho-Ajusco	NULL	19.2871000	-99.2181000	1
237	594	ZOOM COLIMA	Audiotech, 351, Avenida San Fernando, Barrio El Zalatón, Colima, Municipio de Colima, Colima, 28000, México	19.247679681047767, -103.71596126299883	19.2476797	-103.7159613	1
238	594	ZOOM CONSTITUCION	Banamex, Calle General Manuel M. Diéguez, Constitución, Zapopan, Región Centro, Jalisco, 45188, México	20.728529,-103.368056	20.7285290	-103.3680560	1
239	594	ZOOM CUAUHTEMOC	C. Antonio M. Anza	NULL	19.4116000	-99.1556000	1
240	594	ZOOM ERMITA	Ermita Iztapalapa	NULL	19.3556445	-99.1020616	1
242	594	ZOOM LINDAVISTA	Eje Central Lázaro Cárdenas	NULL	19.4987010	-99.1317010	1
243	594	ZOOM OBLATOS	Avenida José María Iglesias, Guadalajara, Región Centro, Jalisco, 44760, México	20.67941260717374, -103.29056601971863	20.6794126	-103.2905660	1
245	594	ZOOM QUERETARO	Prolongación Corregidora Norte	NULL	20.6169256	-100.3902943	1
246	594	ZOOM SAN JUAN DEL RIO	CALLE MIGUEL HIDALGO	NULL	20.3824000	-99.9983000	1
247	594	ZOOM TLAQUEPAQUE	Boulevard General Marcelino García Barragán, Tlaquepaque, San Pedro Tlaquepaque, Región Centro, Jalisco, 44870, México	20.640273685452115, -103.31632251786883	20.6402737	-103.3163225	1
248	594	ZOOM TOLUCA	AV MIGUEL HIDALGO Y COSTILLA	NULL	19.3144679	-99.6404857	1
249	594	ZOOM XOCHIMILCO	De la Rosa	NULL	19.2678362	-99.1167065	1
253	836	TVS SIERRA MONTERREY	Avenida Abraham Lincoln	NULL	16.9689500	-93.6405900	1
256	746	BAJAJ HUETAMO	Entroque Martín Urieta	NULL	18.6275976	-100.8997954	1
257	746	BAJAJ ALTAMIRANO	Ciprianos Jaimes Pte.	NULL	18.3581220	-100.6735276	1
258	807	YAMAHA TULANCINGO	Carretera México - Tuxpan	NULL	20.0759070	-98.3792261	1
259	895	MULTIMARCAS SANTIAGO 59	NULL	NULL	NULL	NULL	1
260	895	MULTIMARCAS AVENIDA 86	Avenida 86	NULL	19.2734725	-99.4627806	1
261	895	MULTIMARCAS AVIACION	NULL	NULL	NULL	NULL	1
263	895	MULTIMARCAS ORIENTE	Calle 65 No. 498, Col. Centro, Mérida, Yucatán, C.P. 97000	NULL	19.2847227	-99.1393399	1
264	895	MULTIMARCAS DORADA	Calle 50	NULL	19.8206100	-90.5540600	1
265	826	BAJAJ TLAHUAC	Av. Tláhuac	NULL	19.2951785	-99.0201298	1
267	549	VENTO NEZA ORIENTE	Imploración Manzana 499, Col. Aurora Oriente, 57000 Cdad. Nezahualcóyotl, Méx.	NULL	NULL	NULL	1
268	827	BAJAJ IZTAPALAPA	Av. Tláhuac	NULL	19.3264636	-99.1011183	1
269	815	ITALIKA LA VIGA	Calz. de la Viga	NULL	19.3910619	-99.1005061	1
270	602	BAJAJ TIJUANA	Gato Bronco	NULL	NULL	NULL	1
273	808	YAMAHA PACHUCA	Blvd. Everardo Márquez	NULL	20.1080500	-98.7467200	1
275	892	TVS QUERETARO	NULL	NULL	NULL	NULL	1
276	662	ITALIKA CERRITOS	Independencia	NULL	22.4277000	-100.2852600	1
278	896	VENTO PENINSULA MERIDA	Circuito Colonias	NULL	20.9831700	-89.5964400	1
285	897	BAJAJ PROGRESO	C. 80	NULL	21.2799100	-89.6628300	1
286	929	TVS CUAJIMALPA	Carr. México-Toluca	NULL	19.3631099	-99.2839872	1
287	749	BAJAJ 31 PONIENTE	Avenida 31 Poniente	NULL	19.0439600	-98.2279357	1
288	750	BAJAJ CAPU	Boulevard Norte	NULL	19.0737000	-98.1994700	1
289	750	BAJAJ PUEBLA SUR	Calle 16 de Septiembre	NULL	18.6006194	-98.4706068	1
290	751	VENTO AMERICA	72440 51 Pte Local 10 #505 Plaza America Col, Residencial Boulevares, 72440 Heroica Puebla de Zaragoza, Pue.	NULL	19.0249408	-98.2116666	1
292	751	VENTO SAN MARTIN	Blvd. Lic. Bernardo Gonzalez Pérez de Angulo, Morelos, 74020 San Martín Texmelucan de Labastida, Pue.	NULL	19.2880524	-98.4375195	1
293	850	SUZUKI TEHUACAN	Avenida Enrique Mont Solórzano	NULL	18.4665000	-97.4163000	1
294	750	BAJAJ ATLIXCO_A	Blvd. Niños Héroes	NULL	18.9016377	-98.4361267	1
295	562	BAJAJ SAN ANDRES	San Andrés	NULL	18.4516200	-95.2233000	1
296	680	VENTO LA RAZA	Calle 3	NULL	19.4696173	-99.1447972	1
299	673	VENTO TEPOTZOTLAN	Paseo de las Bugambilias 31, 54600 San Mateo Xoloc, Méx.	NULL	19.6967045	-99.2538104	1
300	647	BAJAJ PASEOS DEL BOSQUE	Paseos del Bosque s/n, Bosques de Morelos, 54760 Cuautitlán Izcalli, Méx.	NULL	19.6279297	-99.2332347	1
301	584	BAJAJ AV CENTRAL	Av. Carlos Hank González 162, San Agustín sección, 55130 Ecatepec de Morelos, Méx.	NULL	19.5314644	-99.0292605	1
302	681	BAJAJ VALLEJO	CALZADA VALLEJO	NULL	19.5103000	-99.1603000	1
303	635	BAJAJ POLANCO	Gutenberg	NULL	19.4514700	-99.1847100	1
304	635	BAJAJ RIO SAN JOAQUIN	Av. Río San Joaquín	NULL	19.4489753	-99.2084415	1
305	562	BAJAJ TUXTLA 1	Blvd. Belisario Domínguez	NULL	16.7566700	-93.1590600	1
306	562	BAJAJ TUXTLA 2	Calle El Pensil	NULL	16.7566700	-93.1590600	1
